subcategories,subtype,name,numberOfReviews,rating,rawRanking,Region,District
Nature & Parks,Caverns & Caves,Udayagiri Caves,634,4,3.777132511,Khurda District,Bhubaneswar
Sights & Landmarks,"Architectural Buildings, Sacred & Religious Sites","Ram Mandir, Bhubaneswar",344,4.5,3.951793909,Khurda District,Bhubaneswar
Sights & Landmarks,Sacred & Religious Sites,Mukteswara Temple,308,4.5,4.044550419,Khurda District,Bhubaneswar
Nature & Parks,Mountains,Brahmagiri Hill,62,4.5,3.105572701,Kodagu (Coorg),
Nature & Parks,Forests,Nisargadhama Forest,602,3,2.927027464,Kodagu (Coorg),
Nature & Parks,Nature & Wildlife Areas,Pushpagiri Wildlife Sanctuary,19,4.5,2.880631447,Kodagu (Coorg),
Nature & Parks,Mountains,Kote Betta,61,4.5,3.219258785,Kodagu (Coorg),Madikeri
Nature & Parks,Waterfalls,Devaragundi Falls,6,4.5,2.794835329,Kodagu (Coorg),
Sights & Landmarks,Sacred & Religious Sites,Sri Lakshmi Narayana Swami Temple Birunani,2,5,2.754925489,Kodagu (Coorg),
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Raja's Tomb,612,3.5,3.093734264,Kodagu (Coorg),Madikeri
Nature & Parks,Bodies of Water,Antara Gange,59,4,2.976140738,Kolar District,Kolar
Sights & Landmarks,Sacred & Religious Sites,Kolaramma Temple,44,4.5,3.051660299,Kolar District,Kolar
Sights & Landmarks,"Architectural Buildings, Points of Interest & Landmarks",Chikka Tirupati Temple,156,4,3.402192593,Kolar District,Malur
"Museums, Water & Amusement Parks","Science Museums, Theme Parks",Science City,769,4,3.8193717,Kolkata District,Kolkata (Calcutta)
Shopping,Shopping Malls,Quest Mall,332,4.5,3.866600275,Kolkata District,Kolkata (Calcutta)
Nature & Parks,Waterfalls,Palaruvi Falls,140,4.5,3.258522511,Kollam District,Kollam
Sights & Landmarks,Lighthouses,Thangassery Light House,309,4.5,3.910686016,Kollam District,Kollam
Nature & Parks,Parks,7 Wonders,213,4.5,3.741059065,Kota District,Kota
Sights & Landmarks,"Castles, Historic Sites",Bundi Palace,80,4.5,3.11255002,Kota District,Kota
"Food & Drink, Classes & Workshops, Other",Cooking Classes,Wonderwerk Kitchen,121,5,4.434491634,Kottayam District,Kottayam
Concerts & Shows,Theaters,Crown Theatre,58,4.5,3.108914375,Kozhikode District,Kozhikode
Nature & Parks,Parks,Mananchira Square,143,4,3.171218157,Kozhikode District,Kozhikode
Shopping,Shopping Malls,Focus Mall,74,4,3.037088871,Kozhikode District,Kozhikode
Sights & Landmarks,Points of Interest & Landmarks,Kariyathumpara,19,4.5,2.98520875,Kozhikode District,Kozhikode
"Sights & Landmarks, Museums","Points of Interest & Landmarks, Science Museums, Observatories & Planetariums",Regional Science Centre & Planetarium,13,4.5,2.887855291,Kozhikode District,Kozhikode
Sights & Landmarks,Sacred & Religious Sites,Arulmighu Sri Chandra Choodeswarar Temple,69,4.5,3.203262568,Krishnagiri District,Hosur
Museums,"History Museums, Specialty Museums",International Roerich Memorial Trust,195,4.5,3.643912792,Kullu District,Manali
Nature & Parks,Bodies of Water,Bhrigu Lake,101,4.5,3.51049614,Kullu District,Manali
Nature & Parks,Hot Springs & Geysers,Vashisht Baths,973,4,3.513389349,Kullu District,Manali
Nature & Parks,Waterfalls,Jana Waterfall,342,4,3.461234093,Kullu District,Manali
Nature & Parks,Bodies of Water,Beas Kund,155,4.5,3.542687416,Kullu District,Manali
Sights & Landmarks,Sacred & Religious Sites,Raghavendra Swamy Temple,305,4.5,3.769234419,Kurnool District,Mantralayam
Museums,Specialty Museums,Sri Krishna Museum,105,4.5,3.478215694,Kurukshetra District,Kurukshetra
Sights & Landmarks,Sacred & Religious Sites,Shree Swaminarayan Temple Bhuj,495,4.5,4.05384922,Kutch District,Bhuj
Nature & Parks,"Parks, Gardens",Gomti Riverfront Park,36,4.5,3.072377682,Lucknow District,Lucknow
Shopping,Shopping Malls,Fun Republic Mall,58,4,3.094193935,Lucknow District,Lucknow
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Rumi Darwaza,457,4,3.77938199,Lucknow District,Lucknow
"Zoos & Aquariums, Nature & Parks, Outdoor Activities",Zoos,Nawab Wajid Ali Shah Zoological Garden,369,4,3.741237879,Lucknow District,Lucknow
Spas & Wellness,Spas,Red Coral Spa Mahipalpur Delhi,180,5,4.4289608,Mahipalpur,
Sights & Landmarks,Sacred & Religious Sites,Thirumandhamkunnu Bhagavathy Temple,45,4.5,3.147377253,Malappuram District,Malappuram
Sights & Landmarks,Educational sites,Arya Vidya Sala,37,4.5,2.960075378,Malappuram District,Malappuram
"Sights & Landmarks, Nature & Parks","Points of Interest & Landmarks, Geologic Formations",Kodikuthimala,19,4.5,2.952035666,Malappuram District,Malappuram
Nature & Parks,Valleys,Barot Valley,119,4.5,3.736670256,Mandi District,Mandi
Nature & Parks,Dams,Krishnaraja Sagar (KRS) Dam,112,4,3.102766275,Mandya District,Srirangapatna
Nature & Parks,Waterfalls,Shivasamudram Falls,702,4,3.543334246,Mandya District,Belakavadi
Sights & Landmarks,Sacred & Religious Sites,Ranganathaswamy Temple,11,4.5,2.869912624,Mandya District,Belakavadi
Sights & Landmarks,Sacred & Religious Sites,ISKCON Vrindavan,749,4.5,4.146306038,Mathura District,Vrindavan
Sights & Landmarks,Sacred & Religious Sites,Barsana Shri Radha Rani Temple,82,4.5,3.55614543,Mathura District,Mathura
Sights & Landmarks,Sacred & Religious Sites,Banke Bihari Temple,952,4.5,3.810035229,Mathura District,Vrindavan
"Sights & Landmarks, Nature & Parks","Sacred & Religious Sites, Mountains",Govardhan Hill,179,4.5,3.441429138,Mathura District,Mathura
Nature & Parks,Nature & Wildlife Areas,Hastinapur Wildlife Sanctuary,32,4.5,2.973766088,Meerut District,Meerut
Shopping,Shopping Malls,The Shopprix Mall,86,4,3.041268349,Meerut District,Meerut
Sights & Landmarks,Sacred & Religious Sites,Augharnath Mandir,105,4.5,3.616538048,Meerut District,Meerut
Nature & Parks,Dams,Dharoi Dam,19,4,2.896974325,Mehsana District,Mehsana
Sights & Landmarks,Sacred & Religious Sites,Bahuchar Mata Temple,43,4.5,3.11068368,Mehsana District,Mehsana
Sights & Landmarks,Sacred & Religious Sites,Vindhyavasini Devi Temple,97,4.5,3.206016064,Mirzapur District,Mirzapur
Shopping,Shopping Malls,VR Punjab,128,4,3.208430529,Mohali District,Mohali
Sights & Landmarks,"Points of Interest & Landmarks, Monuments & Statues",Gateway of India,12582,4,5,Mumbai,
Sights & Landmarks,Monuments & Statues,Global Vipassana Pagoda,801,4.5,4.08332777,Mumbai,
Sights & Landmarks,Sacred & Religious Sites,Shree Siddhivinayak,5606,4.5,4.119236946,Mumbai,
Sights & Landmarks,Points of Interest & Landmarks,Elephanta Caves,2006,4,3.676208973,Mumbai,
Spas & Wellness,Spas,Muktaa The Wellness Clinic & Luxury Spa Goregaon,367,5,4.502707481,Mumbai,
Spas & Wellness,Spas,Sukhdaa The Wellness Clinic and Cultural Spa Colaba,485,5,4.483663559,Mumbai,
Museums,Specialty Museums,Hazarduari Palace Museum,247,4.5,3.892285109,Murshidabad District,Murshidabad
Sights & Landmarks,Sacred & Religious Sites,Sikkal Singaravelar Temple,25,4.5,2.957716465,Nagapattinam District,Nagapattinam
Sights & Landmarks,Points of Interest & Landmarks,Shree Ganesh Mandir Tekdi,292,4.5,4.094704628,Nagpur District,Nagpur
Nature & Parks,Bodies of Water,Kosi River,702,4.5,3.881991148,Nainital District,Jim Corbett National Park
Sights & Landmarks,"Sacred & Religious Sites, Points of Interest & Landmarks, Architectural Buildings",Vishwa Shanti Stupa,133,4.5,3.4287498,Nalanda District,Rajgir
Food & Drink,Wineries & Vineyards,York Winery & Tasting Room,289,4,3.630998373,Nashik District,Nashik
Nature & Parks,Mountains,Brahmagiri Hill,51,4.5,3.129184723,Nashik District,Nashik
Nature & Parks,Dams,Bhavali Dam,67,4.5,3.292016268,Nashik District,Igatpuri
Nature & Parks,Mountains,Anjneri Hill,140,4.5,3.581820011,Nashik District,Nashik
"Nature & Parks, Outdoor Activities","Hiking Trails, Nature & Wildlife Areas",Harihar Fort,43,4.5,3.153166056,Nashik District,Nashik
Sights & Landmarks,"Architectural Buildings, Sacred & Religious Sites",Kalaram Temple,355,4.5,4.039629936,Nashik District,Nashik
Nature & Parks,Parks,Central Park Kharghar,415,4,3.614307165,Navi Mumbai,
Nature & Parks,Parks,Wonders Park,310,4,3.18917799,Navi Mumbai,
Sights & Landmarks,Sacred & Religious Sites,Nerul Balaji Temple,384,4.5,4.005072594,Navi Mumbai,
Shopping,Shopping Malls,MGB Felicity Mall,24,5,3.066495895,Nellore District,Nellore
Sights & Landmarks,Sacred & Religious Sites,Sri Ranganathaswamy Temple,60,4.5,3.237204552,Nellore District,Nellore
"Food & Drink, Classes & Workshops",Cooking Classes,Tastesutra,612,5,4.447030544,New Delhi,
"Food & Drink, Classes & Workshops",Cooking Classes,Indian Food Cooking Classes,342,5,4.440599918,New Delhi,
"Food & Drink, Classes & Workshops",Cooking Classes,Saffron Palate,813,5,4.465120316,New Delhi,
Shopping,Flea & Street Markets,Chandni Chowk,4458,4,3.780442953,New Delhi,
Sights & Landmarks,"Observation Decks & Towers, Architectural Buildings, Points of Interest & Landmarks",Qutub Minar,13405,4.5,5,New Delhi,
"Sights & Landmarks, Nature & Parks","Sacred & Religious Sites, Gardens",Swaminarayan Akshardham,11993,4.5,4.865594387,New Delhi,
"Casinos & Gambling, Fun & Games",Casinos,Grand 7 Casino,69,3.5,2.817608833,North Goa District,Bardez
"Casinos & Gambling, Fun & Games",Casinos,Deltin Royale,1239,4,3.709303379,North Goa District,Panjim
Nature & Parks,Islands,Divar Island,104,4.5,3.258674383,North Goa District,Panjim
Nature & Parks,Nature & Wildlife Areas,Dr. Salim Ali Bird Sanctuary,163,4,3.146884203,North Goa District,Panjim
"Nature & Parks, Outdoor Activities",Beaches,Kegdole Beach,72,4,3.027149677,North Goa District,Bardez
"Nature & Parks, Outdoor Activities",Beaches,Morjim Beach,967,4.5,3.965613127,North Goa District,Morjim
"Nature & Parks, Outdoor Activities",Beaches,Coco Beach,353,3.5,2.977273703,North Goa District,Bardez
"Nature & Parks, Outdoor Activities",Beaches,Keri Beach (Querim Beach),231,4.5,3.998356342,North Goa District,Arambol
"Nature & Parks, Outdoor Activities",Beaches,Vagator Beach,1383,4,3.77809906,North Goa District,Mapusa
"Nature & Parks, Outdoor Activities",Beaches,Miramar Beach,1037,3.5,3.410842896,North Goa District,Panjim
"Nature & Parks, Outdoor Activities",Beaches,Ozran Beach,219,4,3.387822628,North Goa District,Bardez
Shopping,Gift & Specialty Shops,GM Jewellers,221,5,4.405659199,North Goa District,Baga
Shopping,Flea & Street Markets,Anjuna Market,1167,4,3.488411188,North Goa District,Bardez
Shopping,Flea & Street Markets,Tibetan Market,106,4,3.025794268,North Goa District,Calangute
Shopping,Flea & Street Markets,Mackie’s Saturday Nite Bazaar,28,3.5,2.817775965,North Goa District,Baga
Shopping,Flea & Street Markets,Holiday Street,35,4,2.893431425,North Goa District,Calangute
"Shopping, Museums","Gift & Specialty Shops, Art Galleries, Shopping Malls",Sheek Emporium /Armani Boutique De Goa,727,5,4.416724682,North Goa District,Bardez
"Shopping, Museums","Art Galleries, Antique Stores, Shopping Malls",G.I.Q Jewellery,1,5,2.748375416,North Goa District,Baga
Sights & Landmarks,Sacred & Religious Sites,Shantadurga Temple,452,4.5,4.028100491,North Goa District,Panjim
Sights & Landmarks,Sacred & Religious Sites,Shri Mahalasa Temple,102,4.5,3.401615381,North Goa District,Ponda
Sights & Landmarks,Architectural Buildings,Se Cathedral,550,4.5,3.931582212,North Goa District,Panjim
Sights & Landmarks,Farms,Tropical Spice Plantation,436,4,3.362471342,North Goa District,Ponda
Sights & Landmarks,Points of Interest & Landmarks,The Cabo Palace,55,4,2.986016989,North Goa District,Bardez
"Zoos & Aquariums, Water & Amusement Parks, Fun & Games, Nature & Parks","Theme Parks, Aquariums, Game & Entertainment Centers",Goosebumps Virtual Escape,82,5,4.418244362,North Goa District,Baga
Nature & Parks,"Hot Springs & Geysers, Valleys",Yumthang Valley,758,4.5,4.055552006,North Sikkim,Lachung
Nature & Parks,"Mountains, Valleys",Yume Samdong (Zero Point),613,4.5,4.086760044,North Sikkim,Lachung
Nature & Parks,Dams,Malampuzha Dam,110,4,3.245265722,Palakkad District,Palakkad
Nature & Parks,"Dams, Gardens",Malampuzha Garden and Dam,332,4,3.755599499,Palakkad District,Palakkad
Sights & Landmarks,"Historic Sites, Points of Interest & Landmarks",Seethargundu Viewpoint,62,4.5,3.229075193,Palakkad District,Palakkad
Sights & Landmarks,Sacred & Religious Sites,Kalpathy Temple,49,4.5,3.100528955,Palakkad District,Palakkad
"Sights & Landmarks, Outdoor Activities",Scenic Drives,Kava,35,4.5,3.00481391,Palakkad District,Palakkad
Sights & Landmarks,Sacred & Religious Sites,Jivdani Temple,110,4.5,3.294317484,Palghar  District,Virar
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Tungareshwar Temple,92,4,3.198377132,Palghar  District,Vasai
Sights & Landmarks,"Points of Interest & Landmarks, Lookouts",Kalavantin Durg,51,4.5,3.168253183,Palghar  District,Palghar
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Gurudwara Nada Sahib,194,4.5,3.939925194,Panchkula District,Panchkula
Sights & Landmarks,Sacred & Religious Sites,Mata Mansa Devi Mandir,169,4.5,3.818773985,Panchkula District,Panchkula
"Zoos & Aquariums, Nature & Parks, Outdoor Activities",Zoos,ChhattBir Zoo,160,4,3.473824263,Panchkula District,Panchkula
Sights & Landmarks,Sacred & Religious Sites,Sabarimala Sri Dharmasastha Temple,175,4.5,3.834029913,Pathanamthitta District,Pathanamthitta
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Gurdwara Dukh Nivaran Sahib,128,5,3.912641764,Patialar District,Patiala
Museums,History Museums,Bihar Museum,45,4.5,3.089605331,Patna District,Patna
Nature & Parks,Parks,Sanjay Gandhi Biological Park,188,4.5,3.611489058,Patna District,Patna
Nature & Parks,Parks,Eco Park (Rajdhani Vatika),76,4.5,3.220703363,Patna District,Patna
Sights & Landmarks,"Sacred & Religious Sites, Historic Sites, Ancient Ruins, Architectural Buildings",Nalanda,253,4.5,4.149598122,Patna District,Patna
Sights & Landmarks,Points of Interest & Landmarks,Gandhi Maidan,160,4,3.230733156,Patna District,Patna
Sights & Landmarks,Sacred & Religious Sites,Tarkeshwar Mahadev Temple,488,4.5,4.211942196,Pauri Garhwal District,Lansdowne
"Nature & Parks, Outdoor Activities",Beaches,Serenity Beach,695,3.5,3.377822161,Pondicherry,
Sights & Landmarks,Churches & Cathedrals,Eglise de Notre Dame des Anges,457,4,3.825810671,Pondicherry,
Sights & Landmarks,Sacred & Religious Sites,Sri Hari Mandir Temple,68,4.5,3.282758713,Porbandar District,Porbandar
Fun & Games,Game & Entertainment Centers,Butterfly Trampoline Park @ Sinhgad Road,146,5,4.471763611,Pune District,Pune
Nature & Parks,Bodies of Water,Pavana Lake,744,4.5,3.865797997,Pune District,Lonavala
Nature & Parks,Caverns & Caves,Karla Caves,642,4,3.560890198,Pune District,Lonavala
Shopping,Shopping Malls,City One Mall,48,3.5,2.930334568,Pune District,Pimpri-Chinchwad
Sights & Landmarks,Sacred & Religious Sites,Bhimashankar Temple,885,4.5,3.930811644,Pune District,Bhimashankar
Sights & Landmarks,Historic Sites,Tikona Fort,101,4.5,3.387504339,Pune District,Lonavala
Sights & Landmarks,Lookouts,Lion's Point,1405,4,3.623609304,Pune District,Lonavala
Sights & Landmarks,Sacred & Religious Sites,Dagadusheth Halwai Ganapati Temple,3198,4.5,4.205767155,Pune District,Pune
Sights & Landmarks,Historic Sites,Visapur Fort,95,4.5,3.294452906,Pune District,Pune
Sights & Landmarks,Ancient Ruins,Rajgad Fort,238,4.5,4.032869339,Pune District,Pune
Sights & Landmarks,Points of Interest & Landmarks,Laxmi Road,911,4,3.72496295,Pune District,Pune
Water & Amusement Parks,Theme Parks,Della Adventure Park,5304,4.5,4.430848598,Pune District,Lonavala
Water & Amusement Parks,Water Parks,Wet N Joy Water Park & Amusement Park,200,4,3.05850172,Pune District,Lonavala
"Nature & Parks, Outdoor Activities",Beaches,Puri Beach,2094,4,3.84339118,Puri District,Puri
"Nature & Parks, Outdoor Activities",Beaches,Konark Beach,580,4.5,3.928590775,Puri District,Puri
Nature & Parks,Nature & Wildlife Areas,Baranti,137,4,3.304518938,Purulia District,Purulia
Nature & Parks,Gardens,Native Biodiversity Garden,13,4.5,2.86587739,Raigad District,Alibaug
"Nature & Parks, Outdoor Activities",Beaches,Mandwa Beach,121,4,3.080916166,Raigad District,Alibaug
"Nature & Parks, Outdoor Activities",Beaches,Versoli Beach,288,4,3.305521727,Raigad District,Alibaug
"Nature & Parks, Outdoor Activities",Beaches,Awas Beach,83,4,3.081335306,Raigad District,Alibaug
"Nature & Parks, Outdoor Activities",Beaches,Kashid Beach,671,4,3.875679493,Raigad District,Kashid
"Nature & Parks, Outdoor Activities",Beaches,Akshi Beach,81,3.5,2.954835176,Raigad District,Alibaug
Sights & Landmarks,Sacred & Religious Sites,Gagangiri Ashram,22,4.5,2.945973873,Raigad District,Khopoli
Sights & Landmarks,Farms,Vrindavan Farm,12,4,2.831848383,Raigad District,Alibaug
Sights & Landmarks,Lookouts,Porcupine Point (Sunset Point),129,4.5,3.394783735,Raigad District,Matheran
Sights & Landmarks,Lookouts,Panorama Point,119,4.5,3.290486336,Raigad District,Matheran
Sights & Landmarks,Historic Sites,Kothaligad (Peth) Fort,48,4.5,3.106451273,Raigad District,Karjat
Sights & Landmarks,Ancient Ruins,Karnala Fort,124,4,3.266703367,Raigad District,Panvel
"Fun & Games, Nature & Parks","Parks, Playgrounds",Naya Raipur Central Park,50,4.5,3.133163691,Raipur District,Raipur
Museums,"History Museums, Art Museums",Purkhouti Muktangan,47,4.5,3.071217537,Raipur District,Raipur
Nature & Parks,Waterfalls,Ghatarani Waterfalls,78,4,3.154523611,Raipur District,Raipur
Shopping,Shopping Malls,Chhattisgarh City Center Mall,99,4,3.180569649,Raipur District,Raipur
Water & Amusement Parks,Theme Parks,Funworld Rajkot,166,4,3.318139076,Rajkot District,Rajkot
Nature & Parks,Waterfalls,Chunchi Falls,68,3.5,2.832836866,Ramanagara District,Madarahalli
Nature & Parks,Geologic Formations,Savandurga,205,4.5,3.66920042,Ramanagara District,Dabguli
"Nature & Parks, Outdoor Activities","Nature & Wildlife Areas, Hiking Trails",Ramadevara Betta Hill,57,4,3.139583826,Ramanagara District,Ramanagara
"Nature & Parks, Outdoor Activities","Geologic Formations, Hiking Trails",SRS Hills,7,4.5,2.814773321,Ramanagara District,Ramanagara
Sights & Landmarks,Sacred & Religious Sites,Navaneetha Krishna Temple,45,4.5,3.157258987,Ramanagara District,Channapatna
Sights & Landmarks,Sacred & Religious Sites,Arulmigu Ramanatha Swamy Temple,1738,4.5,4.084182262,Ramanathapuram District,Rameswaram
Sights & Landmarks,Bridges,Pamban bridge,598,4.5,4.171133518,Ramanathapuram District,Rameswaram
Nature & Parks,Waterfalls,Jonha Falls,129,4.5,3.363363266,Ranchi District,Ranchi
Nature & Parks,Gardens,Rock Garden,163,4,3.350536108,Ranchi District,Ranchi
Nature & Parks,Valleys,Patratu Valley,61,4.5,3.317450285,Ranchi District,Ranchi
Sights & Landmarks,Sacred & Religious Sites,Jagannath Mandir,204,4.5,3.720070601,Ranchi District,Ranchi
"Zoos & Aquariums, Nature & Parks, Outdoor Activities","Nature & Wildlife Areas, Zoos",Birsa Zoological Park,82,4,3.217392921,Ranchi District,Ranchi
"Nature & Parks, Outdoor Activities",Beaches,Ladghar Beach,217,4,3.472900629,Ratnagiri District,Dapoli
"Nature & Parks, Outdoor Activities",Beaches,Murud Beach,264,4,3.305900812,Ratnagiri District,Dapoli
"Nature & Parks, Outdoor Activities",Beaches,Ganapatipule Beach,639,4.5,3.866278887,Ratnagiri District,Ganpatipule
"Nature & Parks, Outdoor Activities",Beaches,Kelshi Beach,19,5,3.022982836,Ratnagiri District,Dapoli
Sights & Landmarks,Points of Interest & Landmarks,Jay Vinayak Temple Jaigad,49,4.5,3.227626324,Ratnagiri District,Ratnagiri
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Keshavraj Temple,105,4.5,3.57445097,Ratnagiri District,Dapoli
Sights & Landmarks,Sacred & Religious Sites,Shree Ganpatipule Mandir,751,4.5,4.098696232,Ratnagiri District,Ganpatipule
Sights & Landmarks,Sacred & Religious Sites,Swayambhu Ganpati Temple,90,4.5,3.454041004,Ratnagiri District,Ratnagiri
Sights & Landmarks,Sacred & Religious Sites,Kedarnath Mandir,376,5,4.222157478,Rudraprayag District,Kedarnath
Sights & Landmarks,"Points of Interest & Landmarks, Sacred & Religious Sites",Sapteshwar Mahadev,7,4,2.762296438,Sabarkantha District,Himmatnagar
Nature & Parks,Dams,Mettur Dam,86,4,3.075442076,Salem District,Salem
Sights & Landmarks,Sacred & Religious Sites,Skandasramam Temple,26,4.5,3.00440383,Salem District,Salem
Sights & Landmarks,Sacred & Religious Sites,Kottai Mariamman Temple,31,4.5,2.994390011,Salem District,Salem
Nature & Parks,Dams,Hirakud Dam,144,4.5,3.415578604,Sambalpur District,Sambalpur
Sights & Landmarks,"Architectural Buildings, Sacred & Religious Sites",Ganapati Temple,74,4.5,3.214078903,Sangli District,Sangli
Nature & Parks,Mountains,Table Land,805,4,3.560331345,Satara District,Panchgani
Nature & Parks,Bodies of Water,Kaas Lake,110,4,3.253650904,Satara District,Satara
Nature & Parks,Dams,Koyna Dam,58,4.5,3.029584646,Satara District,Satara
Sights & Landmarks,Points of Interest & Landmarks,Pratapgad Fort,129,4,3.317194223,Satara District,Satara
Sights & Landmarks,Points of Interest & Landmarks,Sydney Point,289,4,3.785588264,Satara District,Panchgani
Sights & Landmarks,Farms,Chalkewadi Windmill Farms,54,4.5,3.146677494,Satara District,Satara
Sights & Landmarks,Historic Sites,Ranthambore Fort,200,4,3.49523735,Sawai Madhopur District,Ranthambhore Fort
Sights & Landmarks,Architectural Buildings,Viceregal Lodge,1501,4.5,3.941696167,Shimla District,Shimla
Sights & Landmarks,Points of Interest & Landmarks,The Ridge,959,4.5,3.970738411,Shimla District,Shimla
"Sights & Landmarks, Outdoor Activities","Scenic Drives, Points of Interest & Landmarks",Agumbe Ghat,48,4.5,3.14396286,Shimoga District,Agumbe
Sights & Landmarks,Points of Interest & Landmarks,Swaminarayan Temple,231,4.5,3.821510315,Silvassa,
"Nature & Parks, Outdoor Activities",Beaches,Kunkeshwar Beach,37,4.5,3.096085072,Sindhudurg District,Kunkeshwar
"Nature & Parks, Outdoor Activities",Beaches,Talashil Tondavali Beach,40,4.5,3.061142206,Sindhudurg District,Malvan
Nature & Parks,Mountains,Mount Abu,880,4,3.688641787,Sirohi District,Mount Abu
Sights & Landmarks,Sacred & Religious Sites,Karpagavinayagar Temple,135,4.5,3.58060813,Sivaganga District,Karaikudi Taluk
"Nature & Parks, Outdoor Activities",Hiking Trails,Gilbert Trail,137,4.5,3.639271975,Solan District,Kasauli
Sights & Landmarks,Sacred & Religious Sites,Manki Point - Hanuman Temple,580,4.5,3.896166563,Solan District,Kasauli
Sights & Landmarks,Observation Decks & Towers,Sunset Point,453,4,3.704107285,Solan District,Kasauli
Sights & Landmarks,Sacred & Religious Sites,Shri Vitthal Rukmini Mandir,223,4.5,3.972827435,Solapur District,Pandharpur
Sights & Landmarks,Points of Interest & Landmarks,Tomb of Khwaza Khizr,14,4,2.817213535,Sonipat District,Sonipat
Nature & Parks,Islands,Jolly Buoy Island,736,4.5,4.11591959,South Andaman Island,Port Blair
"Food & Drink, Classes & Workshops",Cooking Classes,Rahul's Cookery Classes,468,5,4.406342983,South Goa District,Canacona
Museums,Specialty Museums,San Thome Museum: Back in Time,44,4.5,3.076928854,South Goa District,Margao
Nature & Parks,Nature & Wildlife Areas,Palolem Island Reserve,22,4.5,2.989889145,South Goa District,Canacona
Nature & Parks,Waterfalls,Dudhsagar Falls,1401,4.5,3.853614807,South Goa District,Mollem National Park
Nature & Parks,Parks,Japanese Garden,79,4,3.026358843,South Goa District,Vasco da Gama
"Nature & Parks, Outdoor Activities",Beaches,Colva Beach,1972,4,3.643816471,South Goa District,Colva
"Nature & Parks, Outdoor Activities",Beaches,Cola Beach,629,4.5,4.020783901,South Goa District,Canacona
"Nature & Parks, Outdoor Activities",Beaches,Butterfly Beach,331,4,3.414673805,South Goa District,Canacona
"Nature & Parks, Outdoor Activities",Beaches,Agonda Beach,2368,4.5,4.145060539,South Goa District,Agonda
"Nature & Parks, Outdoor Activities",Beaches,Cavelossim Beach,1802,4.5,4.127634048,South Goa District,Cavelossim
Shopping,Flea & Street Markets,Margao Market,303,4,3.324784994,South Goa District,Margao
Sights & Landmarks,Churches & Cathedrals,Church of Holy Spirit,94,4.5,3.285604715,South Goa District,Margao
Sights & Landmarks,Architectural Buildings,Burnzam Ghor,10,4.5,2.817010164,South Goa District,Colva
Spas & Wellness,Spas,Sandalwood Ayurveda,353,5,4.463624954,South Goa District,Cavelossim
Spas & Wellness,Spas,Himalayan Therapeutic Studio (Mogu School),209,5,4.416872501,South Goa District,Canacona
"Nature & Parks, Outdoor Activities",Beaches,Dumas Beach,370,3.5,2.988182545,Surat District,Surat
"Nature & Parks, Outdoor Activities",Beaches,Ubharat beach,199,3.5,3.079726934,Surat District,Surat
Sights & Landmarks,Castles,Surat Castle (Old Fort),65,4,3.087765932,Surat District,Surat
Sights & Landmarks,Sacred & Religious Sites,Ambika Niketan Temple,133,4.5,3.523029566,Surat District,Surat
Traveler Resources,Libraries,Kavi Narmad Central Library,163,4.5,3.796783209,Surat District,Surat
"Zoos & Aquariums, Nature & Parks, Outdoor Activities",Zoos,Sarthana Nature Park,95,4,3.175785065,Surat District,Surat
Nature & Parks,Bodies of Water,Sela Pass,372,4.5,4.224515438,Tawang District,Tawang
Nature & Parks,Bodies of Water,Kala Talao Lake,76,4,3.122693777,Thane District,Kalyan
Nature & Parks,Nature & Wildlife Areas,Butterfly park - Ovalekar Wadi,71,4,3.056225538,Thane District,Thane
"Nature & Parks, Outdoor Activities",Beaches,Kelwa Beach,115,4,3.052089214,Thane District,Thane
Shopping,Shopping Malls,Korum Mall,293,4,3.697600126,Thane District,Thane
Sights & Landmarks,Historic Sites,Shiv Temple,35,4.5,3.08647418,Thane District,Ambarnath
Spas & Wellness,"Hammams & Turkish Baths, Spas",Muktaa The Wellness Clinic & Luxury Spa- Thane,193,5,4.453543663,Thane District,Thane
Water & Amusement Parks,"Theme Parks, Water Parks",Tikuji-ni-wadi,257,3.5,3.001909733,Thane District,Thane
Nature & Parks,Waterfalls,Pykara Falls,693,4,3.735138416,The Nilgiris District,Ooty (Udhagamandalam)
Nature & Parks,Mountains,Doddabetta Peak,2288,4,3.552610397,The Nilgiris District,Ooty (Udhagamandalam)
Nature & Parks,Bodies of Water,Upper Bhavani Lake,343,4.5,4.027395725,The Nilgiris District,Ooty (Udhagamandalam)
Nature & Parks,Bodies of Water,Avalanche Lake,489,4.5,3.822525501,The Nilgiris District,Ooty (Udhagamandalam)
Nature & Parks,National Parks,Mudumalai National Park,543,3.5,3.351601362,The Nilgiris District,Ooty (Udhagamandalam)
Nature & Parks,Gardens,Government Rose Garden,1306,4,3.622087955,The Nilgiris District,Ooty (Udhagamandalam)
Sights & Landmarks,Lookouts,Dolphin's Nose,688,3.5,3.363561153,The Nilgiris District,Coonoor
Sights & Landmarks,Lookouts,Kodanad View Point,227,4.5,3.768824339,The Nilgiris District,Kotagiri
